family,scoring,selection_target,selection_metric,selection_rule,best_overall_mean_test_score,threshold_1se_score_space,selected_is_within_1se,selected_score_minus_threshold,best_score_mean_test,best_std_test,best_mean_train,gap_train_minus_test_score_space,rmse_cv_Flux,rmse_train_Flux,gap_rmse_Flux,complexity,best_params,gap_filter_tol,use_gap_filter,r2_Alim_T_out,r2_Ref_T_out,r2_Flux,rmse_Alim_T_out,rmse_Ref_T_out,rmse_Flux,rank_by_score_space,rank_by_flux_rmse
KerasMLP_ZohanResidual_Restricted,neg_rmse_true_target_Flux,Flux,RMSE,1SE_gapfilter_mincomplexity_on_Flux,-0.06517608066492184,-0.0851887687893999,True,0.020012688124478067,-0.06517608066492184,0.02001268812447807,-0.05727463463849334,0.007901446026428498,0.06517608066492184,0.05727463463849334,0.007901446026428498,256.1,"{'model__model__optimizer': 'adam', 'model__model__n_targets': 3, 'model__model__n_features': 8, 'model__model__loss': 'huber', 'model__model__learning_rate': 0.001, 'model__model__l2': 1e-06, 'model__model__huber_delta': 1.0, 'model__model__hidden_layer_sizes': [256], 'model__model__activation': 'tanh', 'model__fit__verbose': 0, 'model__fit__validation_split': 0.2, 'model__fit__shuffle': True, 'model__epochs': 200, 'model__batch_size': 32}",0.02,True,0.9732210945443006,0.9897464381326098,0.9711348790177118,0.2156861320836992,0.3943384669909313,0.06893679526957225,1,1
KerasMLP_ZohanHPD_Restricted,neg_rmse_true_target_Flux,Flux,RMSE,1SE_gapfilter_mincomplexity_on_Flux,-0.07774546550817325,-0.09835740343013984,True,0.020611937921966583,-0.07774546550817325,0.020611937921966583,-0.06624183948573335,0.0115036260224399,0.07774546550817325,0.06624183948573335,0.0115036260224399,256.1,"{'model__model__optimizer': 'adam', 'model__model__n_targets': 3, 'model__model__n_features': 8, 'model__model__loss': 'huber', 'model__model__learning_rate': 0.001, 'model__model__l2': 0.0, 'model__model__huber_delta': 1.0, 'model__model__hidden_layer_sizes': [256], 'model__model__activation': 'tanh', 'model__fit__verbose': 0, 'model__fit__validation_split': 0.2, 'model__fit__shuffle': True, 'model__epochs': 200, 'model__batch_size': 32}",0.02,True,0.9787105648094265,0.9880380761345384,0.9573058858984863,0.19231266277064354,0.4259241669255223,0.08383944645443606,2,2
KerasMLP_Luc_Restricted,neg_rmse_true_target_Flux,Flux,RMSE,1SE_gapfilter_mincomplexity_on_Flux,-0.08769199574172105,-0.11708712931596475,True,0.029395133574243698,-0.08769199574172105,0.029395133574243695,-0.07380188073243066,0.013890115009290396,0.08769199574172105,0.07380188073243066,0.013890115009290396,256.1,"{'model__model__physics_norm': 'mae', 'model__model__optimizer': 'adam', 'model__model__omega': 0.0, 'model__model__n_targets': 3, 'model__model__n_features': 5, 'model__model__learning_rate': 0.001, 'model__model__l2': 0.0001, 'model__model__huber_delta': 1.0, 'model__model__hidden_layer_sizes': [256], 'model__model__data_loss': 'huber', 'model__model__activation': 'tanh', 'model__fit__verbose': 0, 'model__fit__validation_split': 0.2, 'model__fit__shuffle': True, 'model__epochs': 200, 'model__batch_size': 32}",0.02,True,0.9641895883888342,0.9881893069175329,0.9364513352728939,0.2494195364507724,0.42322319127343827,0.10228633407994883,3,3
KerasMLP_FrozenBaseline,neg_rmse_true_target_Flux,Flux,RMSE,1SE_gapfilter_mincomplexity_on_Flux,-0.09227697869868612,-0.1234584746532066,True,0.03118149595452048,-0.09227697869868612,0.03118149595452048,-0.07302466392053904,0.01925231477814708,0.09227697869868612,0.07302466392053904,0.01925231477814708,256.1,"{'model__model__optimizer': 'adam', 'model__model__n_targets': 3, 'model__model__n_features': 5, 'model__model__loss': 'huber', 'model__model__learning_rate': 0.001, 'model__model__l2': 0.0001, 'model__model__huber_delta': 1.0, 'model__model__hidden_layer_sizes': [256], 'model__model__activation': 'tanh', 'model__fit__verbose': 0, 'model__fit__validation_split': 0.2, 'model__fit__shuffle': True, 'model__epochs': 200, 'model__batch_size': 32}",0.02,True,0.9666014778838818,0.9766238115180675,0.9367227162829708,0.24087372905369145,0.5954134156998502,0.10206769638253,4,4
