family,scoring,selection_target,selection_metric,selection_rule,best_overall_mean_test_score,threshold_1se_score_space,selected_is_within_1se,selected_score_minus_threshold,best_score_mean_test,best_std_test,best_mean_train,gap_train_minus_test_score_space,rmse_cv_Flux,rmse_train_Flux,gap_rmse_Flux,complexity,best_params,gap_filter_tol,use_gap_filter,r2_Alim_T_out,r2_Ref_T_out,r2_Flux,rmse_Alim_T_out,rmse_Ref_T_out,rmse_Flux,rank_by_score_space,rank_by_flux_rmse
KerasMLP_ZohanResidual_Restricted,neg_rmse_true_target_Flux,Flux,RMSE,1SE_mincomplexity_on_Flux,-0.0751184833251869,-0.10125506814501493,True,0.02613658481982803,-0.0751184833251869,0.02613658481982803,-0.05024928432871966,0.024869198996467244,0.0751184833251869,0.05024928432871966,0.024869198996467244,64.1,"{'model__model__optimizer': 'adam', 'model__model__n_targets': 3, 'model__model__n_features': 8, 'model__model__loss': 'huber', 'model__model__learning_rate': 0.001, 'model__model__l2': 1e-05, 'model__model__huber_delta': 1.0, 'model__model__hidden_layer_sizes': (64,), 'model__model__activation': 'relu', 'model__fit__verbose': 0, 'model__fit__validation_split': 0.2, 'model__fit__shuffle': True, 'model__epochs': 200, 'model__batch_size': 32}",0.02,False,0.9674172449970265,0.9808397068912913,0.92767484668772,0.23791384331188636,0.5390547036428767,0.10912118674399084,1,1
KerasMLP_Luc_Restricted,neg_rmse_true_target_Flux,Flux,RMSE,1SE_mincomplexity_on_Flux,-0.08192196377308696,-0.09808962858884515,True,0.016167664815758195,-0.08192196377308696,0.016167664815758202,-0.05093344256106832,0.030988521212018637,0.08192196377308696,0.05093344256106832,0.030988521212018637,64.1,"{'model__model__physics_norm': 'mae', 'model__model__optimizer': 'adam', 'model__model__omega': 0.0, 'model__model__n_targets': 3, 'model__model__n_features': 5, 'model__model__learning_rate': 0.001, 'model__model__l2': 1e-05, 'model__model__huber_delta': 1.0, 'model__model__hidden_layer_sizes': (64,), 'model__model__data_loss': 'huber', 'model__model__activation': 'relu', 'model__fit__verbose': 0, 'model__fit__validation_split': 0.2, 'model__fit__shuffle': True, 'model__epochs': 200, 'model__batch_size': 32}",0.02,False,0.9248258154447121,0.934012163734626,0.9236491738203682,0.36137672205882154,1.000377026650716,0.11211694861613618,2,2
KerasMLP_ZohanHPD_Restricted,neg_rmse_true_target_Flux,Flux,RMSE,1SE_mincomplexity_on_Flux,-0.09271451346539135,-0.11988870714368197,True,0.027174193678290617,-0.09271451346539135,0.027174193678290624,-0.05779909098846548,0.03491542247692587,0.09271451346539135,0.05779909098846548,0.03491542247692587,64.1,"{'model__model__optimizer': 'adam', 'model__model__n_targets': 3, 'model__model__n_features': 8, 'model__model__loss': 'huber', 'model__model__learning_rate': 0.001, 'model__model__l2': 1e-06, 'model__model__huber_delta': 1.0, 'model__model__hidden_layer_sizes': (64,), 'model__model__activation': 'relu', 'model__fit__verbose': 0, 'model__fit__validation_split': 0.2, 'model__fit__shuffle': True, 'model__epochs': 200, 'model__batch_size': 32}",0.02,False,0.8861842027379783,0.9333142360950483,0.847607780016098,0.44465899671444853,1.0056534108461912,0.15839657874192462,3,3
KerasMLP_ZohanHRNN_Restricted,neg_rmse_true_target_Flux,Flux,RMSE,1SE_mincomplexity_on_Flux,-0.0933591465121173,-0.11536073023113819,True,0.02200158371902089,-0.0933591465121173,0.022001583719020893,-0.04866587433478261,0.04469327217733469,0.0933591465121173,0.04866587433478261,0.04469327217733469,64.1,"{'model__model__optimizer': 'adam', 'model__model__n_targets': 3, 'model__model__n_features': 8, 'model__model__loss': 'huber', 'model__model__learning_rate': 0.001, 'model__model__l2': 0.0, 'model__model__huber_delta': 1.0, 'model__model__hidden_layer_sizes': (64,), 'model__model__activation': 'relu', 'model__fit__verbose': 0, 'model__fit__validation_split': 0.2, 'model__fit__shuffle': True, 'model__epochs': 200, 'model__batch_size': 32}",0.02,False,0.9748086831566838,0.9156001555753646,0.903682339919009,0.20919497410993676,1.1313646078683284,0.12592656610364314,4,4
KerasMLP_FrozenBaseline,neg_rmse_true_target_Flux,Flux,RMSE,1SE_mincomplexity_on_Flux,-0.09374365191046612,-0.11576221497996325,True,0.022018563069497135,-0.09374365191046612,0.022018563069497128,-0.050768315013965316,0.0429753368965008,0.09374365191046612,0.050768315013965316,0.0429753368965008,64.1,"{'model__model__optimizer': 'adam', 'model__model__n_targets': 3, 'model__model__n_features': 5, 'model__model__loss': 'huber', 'model__model__learning_rate': 0.001, 'model__model__l2': 1e-05, 'model__model__huber_delta': 1.0, 'model__model__hidden_layer_sizes': (64,), 'model__model__activation': 'relu', 'model__fit__verbose': 0, 'model__fit__validation_split': 0.2, 'model__fit__shuffle': True, 'model__epochs': 200, 'model__batch_size': 32}",0.02,False,0.9375880504686711,0.9068957714045194,0.9275047338220227,0.3292757029836712,1.1882736555087998,0.1092494409853885,5,5
